publishedAt,title,description,url,source_name,topic,sentiment
2025-10-20,Poilievre calls on Carney to keep federal deficit under $42B in next month's budget,Conservative Leader Pierre Poilievre is demanding that Prime Minister Mark Carney cut taxes and keep the federal deficit under $42 billion in the coming budget.,https://www.nationalobserver.com/2025/10/20/news/poilievre-calls-carney-keep-federal-deficit-under-42b-next-months-budget,National Observer,Federal Budget,Negative
2025-10-20,Ontario's legislature back for a short session as economic storm clouds loom,"Ontario’s legislature returns today for what some experts say will be a short, but packed session, as economic storm clouds swirl over the province and questions linger about a multi-billion dollar skills fund.",https://www.cbc.ca/news/canada/toronto/ontario-legislature-returns-today-9.6942763,CBC News,Federal Budget,Negative
2025-11-18,What’s Next for Carney Government After Surviving Budget Vote,theepochtimes,https://www.theepochtimes.com/world/whats-next-for-carney-government-after-surviving-budget-vote-5946671,Epoch Times,Federal Budget,Neutral
2025-11-18,"Why two NDP MPs abstained from the federal budget vote, and what comes next","Prime Minister Mark Carney’s first budget was passed on Monday in the House of Commons by a narrow vote. Interim NDP Leader Don Davies explains why they couldn't back the budget, and what he says the government should do next.",https://www.cbc.ca/radio/asithappens/ndp-abstained-from-budget-9.6983105,CBC.ca,Federal Budget,Neutral
2025-11-18,"How the Conservatives helped pass Carney's budget, avoiding an election","Minutes before time ran out on Monday's budget vote, two senior Conservatives swooped into the chamber claiming their electronic voting app wasn't working and declared they wanted to vote against Prime Minister Mark Carney's first budget.",https://www.cbc.ca/news/politics/conservatives-helped-pass-carney-budget-9.6983603,CBC.ca,Federal Budget,Neutral
2025-11-18,"MPs pass Carney budget, avoid holiday election","Prime Minister Mark Carney’s minority Liberal government narrowly survived its third confidence vote in as many weeks on Monday, passing the federal budget by a vote of 170-168 and staving off a holiday election.",https://www.bnnbloomberg.ca/business/politics/2025/11/18/minority-liberals-narrowly-survive-high-stakes-confidence-vote-fending-off-holiday-election/,Bnn Bloomberg,Federal Budget,Neutral
2025-11-18,Cost of bureaucracy balloons 80 per cent in 10 years: Public Accounts,"OTTAWA, ON: The cost of the bureaucracy increased by $6 billion last year, according to newly released numbers in Public Accounts disclosures. The Canadian Taxpayers Federation is calling on Prime Minister Mark Carney to immediately shrink the bureaucracy.“The Public Accounts show the cost of the federal bureaucracy is out of control,” said Franco Terrazzano, CTF Federal Director. “Tinkering around the edges won’t cut it, Carney needs to take urgent action to shrink the bloated federal bureaucracy.”",https://canadafreepress.com/article/172772,canadafreepress,Federal Budget,Negative
2025-11-18,"Ex-NHLer Theo Fleury speaks out against Canadian PM Mark Carney's first federal budget: ""The Communist takeover of Canada is complete""",Former NHLer Theo Fleury has condemned Canadian Prime Minister Mark Carney's inaugural federal budget.,https://www.sportskeeda.com/us/nhl/news-ex-nhler-theo-fleury-speaks-canadian-pm-mark-carney-s-first-federal-budget-the-communist-takeover-canada-is-complete,Sportskeeda,Federal Budget,Negative
2025-11-18,Canada Avoids Election as Carney’s Budget Narrowly Passes House,"Prime Minister Mark Carney won a key budget vote by the slimmest of margins in Canada’s Parliament, ensuring the survival of his government.",https://financialpost.com/pmn/business-pmn/canada-avoids-election-as-carneys-budget-narrowly-passes-house,Financial Post,Federal Budget,Neutral
2025-11-17,In the news today: MPs to vote on Prime Minister Carney’s budget,Here is a roundup of stories from The Canadian Press designed to bring you up to speed&#8230; MPs to vote on Prime Minister Mark Carney&#8217;s first budget today Members of Parliament will today decide whether to vote in favour of Prime Minister Mark Carney&#8217;s budget or send the country back to the polls less than [&#8230;],https://winnipegsun.com/pmn/in-the-news-today-mps-to-vote-on-prime-minister-carneys-budget,winnipegsun,Federal Budget,Neutral
